0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-4.4668584,-1.1152724,4.017574,0.060327068,1.3292903,-0.3177842,-1.5498284,-0.5661653,1.202587,-0.4967362,-0.7681848,0.8202383,-4.0,-1.3,4.0
-4.495947,-1.1265548,4.040156,0.050532665,1.3124429,-0.30193678,-1.3584986,-0.56172216,1.0562013,-0.48212105,-0.9155344,0.7641232,-4.0,-1.3,4.0
-4.5211773,-1.1377265,4.0598483,0.041025184,1.2927368,-0.28723708,-1.1640209,-0.5550598,0.91379243,-0.4698353,-1.05241,0.7055502,-4.0,-1.3,4.0
-4.542486,-1.1487412,4.0767393,0.03171163,1.270397,-0.2736773,-0.96632457,-0.54600257,0.77616704,-0.4618868,-1.1820222,0.65207857,-4.0,-1.3,4.0
-4.5598106,-1.1595496,4.090932,0.022516247,1.2454376,-0.2611082,-0.765684,-0.5343851,0.6440441,-0.45882687,-1.3138161,0.6050634,-4.0,-1.3,4.0
-4.5730977,-1.1700987,4.1025424,0.01331878,1.2178496,-0.24945812,-0.5626707,-0.5200513,0.51808244,-0.46208972,-1.4447327,0.5610081,-4.0,-1.3,4.0
-4.5823064,-1.1803325,4.1117005,0.0039817374,1.1876483,-0.23859523,-0.3579342,-0.5028387,0.39891768,-0.47319955,-1.5752139,0.5271673,-4.0,-1.3,4.0
-4.587408,-1.1901919,4.118549,-0.005645709,1.1548482,-0.22828926,-0.15211779,-0.48257563,0.28719008,-0.48960727,-1.7044814,0.50590825,-4.0,-1.3,4.0
-4.5883904,-1.1996143,4.123241,-0.015552932,1.1195168,-0.21826294,0.05382459,-0.45913416,0.183407,-0.49863723,-1.8268697,0.49880046,-4.0,-1.3,4.0
-4.58526,-1.2085356,4.1259413,-0.025454268,1.0818369,-0.20827892,0.25901997,-0.43246192,0.08807395,-0.4875947,-1.9391011,0.50122225,-4.0,-1.3,4.0
-4.578039,-1.2168915,4.126824,-0.034939364,1.0420866,-0.19817851,0.4627347,-0.40262398,0.001720421,-0.45929182,-2.0318644,0.5086996,-4.0,-1.3,4.0
-4.566766,-1.2246207,4.126073,-0.043784328,1.0006696,-0.18793803,0.664171,-0.369826,-0.07523883,-0.42533654,-2.1089897,0.51560134,-4.0,-1.3,4.0
-4.5514927,-1.2316666,4.1238794,-0.051980674,0.9577273,-0.17753106,0.8625453,-0.3343411,-0.14248179,-0.39488828,-2.1850243,0.5256303,-4.0,-1.3,4.0
-4.5322905,-1.2379786,4.1204395,-0.05957573,0.9132793,-0.16688786,1.0569378,-0.2964928,-0.19982219,-0.36411822,-2.2597127,0.539439,-4.0,-1.3,4.0
-4.5092483,-1.243513,4.115953,-0.06652342,0.86733186,-0.15594047,1.2463931,-0.25665203,-0.24715953,-0.33026066,-2.3351111,0.5550145,-4.0,-1.3,4.0
